UWI,Zone,Fracs Placed,Per Frac Test Rate,Tonnage per Frac,Water per Frac,Average Pumping Rate,Average Breakdown Pressure (Mpa),Average Pumping Pressure (Mpa)
00/07-02-060-20W5/0,All Montney,7,,,33.92428571,,,
00/08-02-060-20W5/0,All Montney,,,,,,,
02/12-02-060-20W5/0,All Montney,21,,10,54.56190476,,,
00/13-02-060-20W5/0,All Montney,18,,10.02777778,34.25555556,2.779581576,32.6691372,25.66725592
00/09-06-060-20W5/2,All Montney,10,,21,79.362,,,
00/04-09-060-20W5/0,All Montney,16,,16,50.915625,,,
00/07-09-060-20W5/0,All Montney,21,,21.23809524,55.61904762,,31.7,
00/01-10-060-20W5/3,All Montney,7,,15.98571429,52.61428571,,36.71428571,
00/08-10-060-20W5/0,All Montney,11,,16,46.70545455,,,
00/13-10-060-20W5/0,All Montney,11,,15,46.79545455,,,
00/03-11-060-20W5/0,All Montney,7,,10,38.78571429,,,
00/04-11-060-20W5/2,All Montney,15,,,,,30.13571429,
W0/04-12-060-20W5/0,All Montney,,,,,,,
00/13-12-060-20W5/0,All Montney,22,,10,50.55909091,,,
00/15-12-060-20W5/0,All Montney,18,,10,34.10555556,2.6,34.58464186,28.19001803
00/16-12-060-20W5/0,All Montney,17,,9.917647059,34.42941176,,,
00/04-15-060-20W5/2,All Montney,11,,19.63636364,51.71818182,,,
02/16-15-060-20W5/0,All Montney,11,,16.90909091,50.21272727,,,
00/15-23-060-20W5/0,All Montney,16,,9.75,32.04375,2.6,38.03967232,32.82828165
00/10-33-060-20W5/0,All Montney,,,,,,,
00/12-33-060-20W5/2,All Montney,7,,8,42.11,,,
00/08-02-060-22W5/0,All Montney,17,,31.64117647,103.4588235,3.846153846,40.51111111,44.66842105
00/02-05-060-22W5/2,All Montney,20,,26,64.345,3.515,39.09,
00/02-07-060-22W5/0,All Montney,29,,66.67344828,352.9006897,8.908971362,35.04625521,45.36386817
00/04-08-060-22W5/0,All Montney,12,,41,50.95833333,4,46.825,35.25
00/01-11-060-22W5/0,All Montney,22,,35.22727273,87.50909091,,41.33636364,
02/13-15-060-22W5/0,All Montney,22,,35.22727273,91.10909091,,35.45714286,
00/07-17-060-22W5/0,All Montney,16,,22.25,102.92625,3.805555556,50.1875,37
00/08-21-060-22W5/0,All Montney,29,,66.86206897,381.5068966,8.050967742,28.57931034,39.12580645
00/14-29-060-22W5/0,All Montney,12,,20.06666667,53.56641667,3.03,,
00/13-30-060-22W5/0,All Montney,30,,66.3,375.7996667,8.414463976,29.42982016,43.69350798
00/14-30-060-22W5/0,All Montney,37,,65.93756757,293.5086486,7.718033982,34.28961298,50.86266126
02/15-30-060-22W5/0,All Montney,30,,66,366.576,9.61726075,28.83003747,43.79005507
00/16-30-060-22W5/0,All Montney,18,,35.52922222,116.7605556,,32.82834606,27.46501164
00/15-32-060-22W5/0,All Montney,18,,25.34555556,98.49333333,3.277394014,,25.48948491
00/13-33-060-22W5/0,All Montney,21,,13.4047619,55.50952381,2.6,37.308099,31.43731611
00/02-01-060-23W5/0,All Montney,30,,66,357.9963333,8.378145042,39.61452559,47.28396799
00/05-02-060-23W5/0,All Montney,20,,33.25,73.719,0.094,47.42146031,37.78142857
00/15-10-060-23W5/0,All Montney,20,,64,332.917,,,
00/16-15-060-23W5/0,All Montney,30,,66.07666667,368.0770667,7.050833003,34.95660201,46.3797063
00/12-19-060-23W5/0,All Montney,,,,,,,
00/08-20-060-23W5/0,All Montney,23,,87.71304348,408.4086957,8.742617689,46.25041791,45.45109651
02/15-21-060-23W5/0,All Montney,29,,65.86206897,369.5396552,8.050888104,35.7150625,45.35176486
00/13-23-060-23W5/0,All Montney,30,,86.58333333,365.4246667,6.957843164,38.20742399,42.35491576
00/14-23-060-23W5/0,All Montney,20,,31.3,74.5045,3.851953188,43.36894897,34.8986154
00/16-23-060-23W5/0,All Montney,30,,69,369.1323333,,,
00/13-24-060-23W5/0,All Montney,,,,,,,
00/14-24-060-23W5/0,All Montney,,,,,,,
00/15-24-060-23W5/0,All Montney,30,,64.49666667,351.5383333,7.4921875,38.01062911,41.68548387
02/16-24-060-23W5/0,All Montney,40,,83.515,345.1415,6.583274863,39.79008391,46.09134706
00/10-27-060-23W5/0,All Montney,30,,67.03,345.3273333,7.145552905,37.57214196,40.47423874
00/12-27-060-23W5/0,All Montney,29,,84.83793103,364.2524138,6.288976812,40.01934095,42.46333566
02/14-27-060-23W5/0,All Montney,37,,88.45945946,365.7972973,8.845681776,35.18436634,52.87335033
00/16-27-060-23W5/0,All Montney,37,,92.22135135,413.64,5.979734696,34.93194737,47.45025695
00/04-28-060-23W5/0,All Montney,14,,31.61142857,127.4557143,,,33.29666667
00/04-33-060-23W5/0,All Montney,,,,,,,
02/13-33-060-23W5/2,All Montney,15,,32.36666667,122.6286667,3.25,36.14451046,28.37259814
00/09-04-060-24W5/0,All Montney,18,,46,107.6666667,,,
02/09-26-060-24W5/2,All Montney,22,,90.34545455,496.7772727,8.273891815,38.78514633,43.76373782
00/05-14-060-26W5/0,All Montney,19,,78.42368421,477.5052632,,42.77645762,48.20490374
00/06-23-060-26W5/2,All Montney,16,,48.73125,273.55625,7.700975576,36.63799721,46.70721287
00/01-27-060-26W5/0,All Montney,,,,,,,
00/16-13-060-27W5/0,All Montney,16,,148.65375,1005.715625,11.09008178,65.5568743,58.46188923
00/12-22-061-17W5/0,All Montney,7,,8,60.92142857,2,24.59419544,20.15495158
00/02-03-061-18W5/0,All Montney,12,,21,57.33333333,,,
00/13-08-061-18W5/0,All Montney,10,,21,50.989,1.451818182,44.6,17.3
00/01-19-061-18W5/0,All Montney,14,,22.36428571,74.37928571,2.801764706,36.86666667,20.558
00/16-30-061-18W5/0,All Montney,12,,11.8625,81.79833333,1.674,31.45555556,24.36153846
00/05-33-061-18W5/0,All Montney,18,,15,51.51666667,3.504178613,29.56933413,25.15952996
02/13-33-061-18W5/0,All Montney,14,,11.45,39.59285714,3.738343857,29.52386427,23.74758784
00/02-36-061-18W5/0,All Montney,10,,12.45,63.87,1.704545455,24.06,18.85
00/16-36-061-18W5/0,All Montney,10,,20,74.44,3.338393337,,20.85755373
00/16-36-061-19W5/2,All Montney,13,,11.28961538,19.80538462,1.682998322,29.54255124,21.05913487
00/01-16-061-23W5/2,All Montney,14,,81,125.8607143,,,
00/16-16-061-23W5/0,All Montney,,,,,,,
02/09-34-061-23W5/0,All Montney,18,,51.34444444,114.1433333,5.354936112,34.80024698,41.7715798
00/14-10-061-24W5/2,All Montney,14,,50,441.835,7.16152974,37.07890738,41.59219329
02/05-11-061-24W5/0,All Montney,,,,,,,
00/10-04-061-25W5/0,All Montney,38,,60,237.2094737,,,
00/14-16-061-25W5/0,All Montney,14,,57.04214286,301.35,7,43.82851691,44.3010607
00/07-03-061-26W5/0,All Montney,,,,,,,
00/13-05-061-26W5/0,All Montney,18,,49.35,366.1611111,6.528988649,38.9566792,45.40055076
00/07-09-061-26W5/2,All Montney,25,,101.92004,757.402,7.399523194,50.25317537,48.05877415
00/03-18-061-26W5/0,All Montney,21,,50,295.4761905,8.595218456,40.20942293,46.48767238
00/01-21-061-26W5/0,All Montney,28,,50,63.26428571,,,
00/02-21-061-26W5/0,All Montney,6,,68.66666667,563.9826667,7.460632734,44.07675289,34.83914272
00/03-21-061-26W5/0,All Montney,22,,50,285.3977273,,,
00/08-21-061-26W5/0,All Montney,10,,50.06,524.8,8.513636364,39.49831709,43.15454545
00/09-21-061-26W5/2,All Montney,26,,50.10384615,308.2692308,8.722286715,45.21888889,50.61061421
00/13-22-061-26W5/0,All Montney,18,666.66,50,250.5555556,,40.48600665,49.1542949
00/01-27-061-26W5/0,All Montney,,,,,,,
00/01-27-061-26W5/2,All Montney,26,,85,307.9192308,8.766391427,38.73892454,50.39331392
00/05-27-061-26W5/0,All Montney,26,,87.86153846,323.7384615,8.386141472,38.90539015,49.63165661
00/01-28-061-26W5/0,All Montney,31,,76.01216129,389.7548387,10.13482069,41.47248053,48.42290524
00/02-28-061-26W5/0,All Montney,19,,75.01210526,408.1368421,9.476210356,40.9798338,49.05404372
00/09-28-061-26W5/0,All Montney,27,,75.03074074,427.472963,9.15,44.63928571,49.07142857
00/08-29-061-26W5/0,All Montney,,,,,,,
00/01-31-061-26W5/2,All Montney,16,,49.73,258.7,7.141986994,49.46666667,41.35230666
00/03-31-061-26W5/0,All Montney,29,,50,267.4241379,7.143980276,34.98025221,46.76989171
00/08-31-061-26W5/2,All Montney,28,,50.125,224.5071429,6.534510515,38.0299704,44.80394322
00/16-31-061-26W5/0,All Montney,26,,85,321.1346154,8.957686089,41.82253504,49.8134559
00/05-35-061-26W5/2,All Montney,19,,50,337.6205263,7.608081366,52.5,44.24698874
00/14-01-061-27W5/0,All Montney,28,,50.05357143,216.5464286,8.442730856,36.64345895,48.13337786
